"Laboratory","LabCode","SubjectCode","SubjectName","Section","Day","StartTime","EndTime","SchoolID","FullName","SchoolEmail","DualLaboratoryStudent","StudentClasses"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-9000-001","Adrian Abella","adrian.abella@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 101 / 1V1 / Monday 3:00 PM-6:00 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-008","Ava Ramirez","ava.ramirez@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-013","Benjamin Ramos","ben.ramos@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-9000-002","Bianca Abella","bianca.abella@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; ME - ME 317 / 1P1 / Monday 7:30 AM-10:30 AM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-9000-003","Carlo Abella","carlo.abella@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-004","Chloe Mendoza","chloe.mendoza@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-9000-004","Daphne Abella","daphne.abella@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; ME - ME 411 / 2P1 / Tuesday 10:30 AM-1:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-852","EJ Kate C. Alcover","ejkate.alcover@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-010","Ella Bautista","ella.bautista@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-9000-005","Enzo Abella","enzo.abella@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 202 / 3V1 / Wednesday 7:30 AM-10:30 AM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-001","Ethan Reyes","ethan.reyes@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-012","Grace Castillo","grace.castillo@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-011","James Navarro","james.navarro@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-003","Liam Santos","liam.santos@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-007","Lucas Torres","lucas.torres@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-009","Mason Villanueva","mason.villa@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-006","Mia Flores","mia.flores@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-005","Noah Garcia","noah.garcia@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
"Civil Engineering Laboratory","CE","CE 311","Surveying Laboratory","1M1","Monday","3:00 PM","6:00 PM","24-4313-014","Scarlett Aquino","scarlett.aquino@cit.edu","Yes","CE - CE 311 / 1M1 / Monday 3:00 PM-6:00 PM; CHE - CHEM 201 / 2V2 / Tuesday 10:30 AM-1:30 PM; CHE - CHEM102 / 1V3 / Monday 1:30 PM-4:30 PM"
